,A00200,A00300,A00600,A00650,A00900,A02300,A03240,A01400,A03270,A03210,A07180
21,0.9234014782207057,0.5286368677212027,1.1188551147940602,1.154934130781588,1.052798618184827,0.7821110296316192,4.3157677020318905,0.5431605784819948,0.14839830811972107,1.6131338065657355,0.2079264720477162
22,0.9916011526956862,0.7559631261445154,1.9560180748478413,1.8092124391627766,0.8609637920197213,1.0345303499759606,2.6058421901253705,0.5615469384797729,0.19273917317375672,0.9428229570797977,0.2934828139991971
25,1.0929815338577287,0.8567453745829235,2.441459851262367,2.4216916282656418,0.956994638102824,0.904407444049579,5.076720756053181,1.237292901218056,0.2724958212263026,2.1966788359724845,0.25167014274690075
24,0.9516258555811199,0.533788249221418,1.3719711475057137,1.2869357819764262,0.9541526775394581,0.9435785383789987,2.2171919385504593,0.8564265497619562,0.16313309118000457,1.4266432128526876,0.3300483480445512
23,0.9125329346506982,0.46278775158724467,1.306197951584047,1.4037024159681217,0.6776318168832363,0.9298922615578531,3.362683676386519,0.7835878967304998,0.1744087712896762,1.658483366275098,0.22837948541333444
26,0.9168710163461613,0.5487173256874751,1.444790300064912,1.4183878458306909,1.053060199126348,0.9225120237013413,15.821827457290032,1.2923881787747322,0.1330318892252154,1.5000899881594947,0.19061393981672262
27,0.9641945633382629,0.5401931134947101,1.3437548563789996,1.3585504323853712,1.0629727210968567,0.8549709909723198,9.679727724471112,1.0491408004753757,0.2272262744475719,2.2527005699225935,0.25740697194650536
29,0.8524259596993067,0.6021811744308004,1.7514868632090768,1.8812597520671595,1.076013549436242,0.8216705649628198,10.503992647597682,0.6374510782712705,0.18989330205238222,1.3811718020222874,0.24786107621949227
28,0.9537486468433054,0.603946335033597,1.4699463524626775,1.4069922371388819,0.9011000729981586,0.8993961619117623,10.09508849297719,0.8253979970403149,0.184386875661514,1.272735815187975,0.3188766678649502
30,0.9381186376723086,0.7952124062680809,1.7783593073317114,1.5630449999492513,0.8366356911961664,1.0001260928640525,11.1354191631467,0.46946607466923035,0.3148657664721482,2.189719143396183,0.21057146763749904
37,0.9872997380529674,0.6022393697749564,1.5064908773126655,1.5885140576283117,0.8873920199174996,0.525603471179677,4.028192473734143,0.9532797318595021,0.18628130372109017,1.4637682560039005,0.2876833924785322
38,1.0293979840180305,0.8290105987486658,1.4348788050936951,1.2652330742177385,0.7467589500722226,0.6946431101322504,23.535802140519337,0.7548544754063364,0.3244943445552878,2.1930600752689213,0.3145483210488885
31,0.95349478052113,0.6498908776434255,1.5725488076792127,1.6132788636914448,0.6310268024775227,0.791277606507449,24.50608116051785,0.673811776757322,0.29836615119697446,2.004230369520918,0.3723704645981415
33,0.9498364266381022,0.6511997096827467,1.9445581281606374,1.9192439763980753,0.989588323667543,1.3971965022608004,2.167200864028079,1.1315287688553821,0.21824893518495161,1.9896712573647843,0.25957444292570125
34,1.1160595848383714,0.7767500718328584,2.210738671111658,2.135140222555884,1.412762222408395,0.7930773349950783,3.3029723383892096,0.9077898420826231,0.24939325983315258,1.7898779245547192,0.35547427970403417
35,0.8176286410909497,0.7240616133522385,1.0612679455386982,1.0161129182270991,0.5791128935090146,0.7413524722078869,9.382521113987632,0.9193057379118316,0.1362430615767952,1.0486560515164887,0.15305107098207027
32,0.9542225203611828,1.6842586203420664,3.3196948719610937,3.431121828800935,1.2742184920180615,0.8666914601275063,18.35665515289991,0.8086763408270524,0.1389878714646327,1.102733424072271,0.2242881971727288
36,1.0698479306235196,1.6779786540845536,3.1741197208925795,3.156777102193833,1.2549797742933664,0.7966223633267381,4.028907689656931,0.8854525124095816,0.20164973235268085,1.4129279476990968,0.2790319582191202
39,1.0261096386623139,0.47646806713740786,1.737509176467789,1.7612114888408759,0.9252480969952228,0.8063920672135632,8.91325001663918,0.7606469929691526,0.14012154755293096,1.77103758947395,0.1736061647123088
40,0.9881098387666499,0.734571396943664,1.5301768126176793,1.6445821362313338,0.6145397660233131,1.0338782548705139,3.821887807098216,0.9207101804825931,0.19219669337530826,1.0325336396909603,0.20363709316965495
41,0.9400319116091174,0.6647357439220427,1.5376202688467229,1.4393407189194365,0.7400526588851801,0.9162732300195761,9.282282794005242,1.0356970901708198,0.22481601046887373,1.8223734069214657,0.19679465246627997
42,0.9719031602378334,0.670243247935542,1.6393057915355864,1.5962961106967988,1.1226763697875788,0.805325087214684,5.135687998943501,0.9446942459559579,0.1742109113414081,2.0115953037440533,0.20344196114268534
44,0.9015677610422067,0.5923635956051815,1.301953748105459,1.3060245286099506,0.7694027335774143,0.8553958925316514,10.229924068799354,0.8410447524793734,0.257624046172498,1.552423018817983,0.22841242702781292
45,0.9114763868821325,0.558989992081756,2.268917981969051,2.718448038631536,0.7723325272900278,0.9812402464647425,14.89965351878378,0.7843039679075287,0.1430419918092061,1.2728657805682475,0.310163748201145
46,0.8841908893236174,0.8490737093286111,1.2385365404082365,1.0888803637048712,0.7319089071861901,1.05741167281025,13.097496864470806,0.45660079368322654,0.4170286465135737,1.8757238694040697,0.4120730398824468
47,0.9937980964699916,0.5828078726272059,1.3166346169197158,1.2985304419927615,1.0512777023877122,0.6893164963767188,4.560026264647338,0.8211309120538429,0.17917455979499536,1.1559409597103574,0.23063471930273863
48,1.0383903619624903,1.0583526752521912,2.5015578398685006,2.563631616645813,0.8959395330144482,0.8224772015193894,9.295697815327475,0.8976485435489598,0.1419975810632175,1.2672992405796524,0.2742553894211696
49,0.9529254160387344,1.0116782421461497,1.5454459130967875,1.5100961723530928,0.6974847931736254,0.7595654322184289,14.960578772074111,0.3437324041707948,0.17337521294741073,1.3884766748425192,0.16579640847339253
51,0.926198120856828,0.5298690735752595,1.4923158907241871,1.536719358458642,0.8912399408698463,0.7449036993667959,3.266753446911939,0.5868590455965259,0.16734437332682978,1.3571574606600698,0.2691669457775091
50,0.9239339920160862,0.5932329828962132,2.201346320433384,2.1749994429980104,0.6557980388538677,1.1209972640007297,9.767203906872403,0.6133479836549729,0.24436605647447923,2.6120706202895114,0.2496357508095969
53,1.0075773566140296,0.7271021454547769,2.184300047487649,2.1932761851432416,1.0012292968319516,0.8117829999337837,21.88670784812622,0.19733874917475083,0.21331716284669705,1.1614338853679314,0.20569947684337284
55,0.9533189181526674,0.5463093067473307,1.3736738886256392,1.3763785062212004,0.6184980343305202,0.8771204727877213,7.552874550371165,0.9897102298245628,0.1785458469510794,1.9829621630281917,0.1992960610809825
54,0.9088835797424571,0.4455851891807869,1.548076909438047,1.5887235230230785,0.7403652255410877,0.9474976505560757,1.6874846665369867,0.9421309413950466,0.10888846329172079,1.0464989529618673,0.1152631169885489
56,0.9784612313380311,1.5900692875782096,6.569768146023384,7.4111443061651565,0.6620418588042847,0.5846310348081729,20.210880568587008,0.9224222319009789,0.2627679302678808,1.2234692778865432,0.19259668624093637
