,2008,2009,2010,2011,2012,2013,2014
SS4,47175850,53568588,54821038,55136057,60391659,57970587,57961775
SS5,36443623,40475597,41617738,40712621,43378647,47679698,43890297
SS6,28379759,32074309,32276602,32109099,34592703,35121228,35702308
SS7,60825644,65792151,68835221,71576258,75987725,77686709,83556997
SS8,43217829,44763025,50470521,53712481,57779426,64106865,67427955
SS9,47114940,48747716,55294149,60482286,72380405,83153248,92077062
SS10,12833074,11767458,14572740,15978383,19076774,22188196,26754538
SS11,2409159,2037675,2405077,2758433,3597681,3620587,4376576
SS12,1542238,1142204,1443711,1559439,2329610,1993764,2524289
UCOMP1,190209,445003,531944,375668,287463,287225,112247
UCOMP2,2553924,5038700,5947533,5409058,4319136,2681243,1674530
UCOMP3,8059835,18372264,25176002,20233598,14419548,9825981,5577649
UCOMP4,7832715,16397637,25912819,18383972,13840459,9175970,5899192
UCOMP5,5517597,9712067,14593035,10470835,8196138,5958822,3978121
UCOMP6,4170977,7090478,9759213,7763641,5714693,4462035,2938680
UCOMP7,7000663,11856812,17732513,13046729,10182494,7994405,5317990
UCOMP8,3979331,6663079,10060433,7416371,6369005,5125591,3141435
UCOMP9,3772147,6856390,8996852,7918219,6697406,5487401,3874340
UCOMP10,525899,1009976,1383541,1246502,1085510,829935,774714
UCOMP11,52782,74895,116123,89276,91472,94671,0
UCOMP12,18615,20799,39954,29824,30807,0,0
IPD,497617809,442051459,393957879,383565099,354057732,317317182,307962385
Wage1,23883454,24117745,23024443,21437416,20445434,20280688,19421543
Wage2,98632349,92095026,91197071,92961755,93108807,94466204,94899140
Wage3,254845415,256072903,258538706,265080549,262184682,266041138,261995646
Wage4,378494522,370132580,370136849,373549061,371577702,380567075,381259619
Wage5,420337671,409416983,409400177,410623212,408353008,408654349,418567676
Wage6,406847030,389507608,393259205,391671646,391349650,410049846,418379915
Wage7,935297197,906062360,890711967,900170384,902783183,915963625,916618937
Wage8,794320811,779929943,784109315,791646425,798324358,822009437,840581301
Wage9,1431970077,1420675682,1446167263,1521442934,1599743841,1665691829,1759304940
Wage10,666055096,633228399,678302347,750627685,806518068,872227137,955295796
Wage11,209788740,186865034,206877573,230634407,259165177,272996984,310372311
Wage12,330162467,238984223,285625448,305543960,387803684,346432571,408251028
