,fh_seq,ffpos,Housing_participation,housing_impute,probs
2416,3222,1,0,0.0,0.00159627365194
2417,3223,1,0,0.0,0.0117504478098
2418,3223,2,0,0.0,0.0104780146023
2419,3227,1,0,0.0,0.00159921180371
2420,3232,1,0,0.0,0.0058153694703
2421,3235,1,1,844.16901861,0.0692731754889
2422,3237,1,0,0.0,0.00120527883517
2423,3239,1,0,0.0,0.0116138327685
2424,3240,1,0,0.0,0.0288597628953
2425,3243,1,0,0.0,0.0903714947585
2426,3243,2,0,0.0,0.0595792722199
2427,3244,1,0,0.0,0.0157672927573
2428,3244,2,0,0.0,0.00199612542262
2429,3246,1,0,0.0,0.0102097849476
2430,3249,1,0,0.0,0.00923486968595
2431,3250,1,0,0.0,0.0112818169068
2432,3251,1,0,0.0,0.00386694431852
2433,3252,1,0,0.0,0.0128902077356
2434,3253,1,0,0.0,0.00659731691238
2435,3260,1,0,0.0,0.00650767005942
2436,3260,2,0,0.0,0.00475538476829
2437,3262,1,0,0.0,0.0101859802336
2438,3263,1,0,0.0,0.0836713619979
2439,3264,1,0,0.0,0.00813057347628
2440,3267,1,0,0.0,0.0484431836343
2441,3271,1,0,0.0,0.00924611277432
2442,3275,1,0,0.0,0.0374946571074
2443,3278,1,0,0.0,0.0141423843077
2444,3279,1,0,0.0,0.00849433058175
2445,3280,1,0,0.0,0.0113491547834
2446,3281,1,0,0.0,0.0547313286765
2447,3283,1,0,0.0,5.09081086867e-05
2448,3284,1,0,0.0,0.0641040076946
2449,3285,1,0,0.0,0.000891974500289
2450,3286,1,0,0.0,0.255002418333
2451,3287,1,0,0.0,0.00673848995421
2452,3291,1,0,0.0,0.000258382951776
2453,3293,1,0,0.0,0.0563581965385
2454,3294,1,0,0.0,0.00560252435102
2455,3299,1,0,0.0,0.0366357340394
2456,3300,1,0,0.0,0.0656499021569
2457,3300,2,0,0.0,0.0420772041446
2458,3306,1,0,0.0,0.00180335463189
2459,3316,1,0,0.0,0.0120226361295
2460,3316,2,0,0.0,0.30671831695
2461,3318,1,0,0.0,0.0373342257879
2462,3321,1,0,0.0,0.00135796977028
2463,3322,1,0,0.0,0.00166396059701
2464,3323,1,0,0.0,0.00519194152558
2465,3324,1,0,0.0,0.0166873438973
2466,3324,2,0,0.0,0.0618367650389
2467,3327,1,0,0.0,0.0166869139298
2468,3328,1,1,464.620157529,0.0561029220593
2469,3329,1,1,414.449905777,0.109000143406
2470,3332,1,0,0.0,0.00222881953401
2471,3333,1,0,0.0,0.00575071573006
2472,3334,1,0,0.0,0.00118977821181
2473,3335,1,0,0.0,0.000388960955108
2474,3338,1,0,0.0,0.00086004013705
2475,3339,1,0,0.0,0.0022869800483
2476,3342,1,0,0.0,0.0337433746776
2477,3343,1,0,0.0,0.022935606074
2478,3344,1,0,0.0,0.00481571520404
2479,3345,1,0,0.0,0.0836713619979
2480,3345,2,0,0.0,0.0836713619979
2481,3346,1,1,464.620157529,0.238410497612
2482,3347,1,0,0.0,0.0122222093403
2483,3348,1,0,0.0,0.000105456169438
2484,3349,1,0,0.0,0.0038907508391
2485,3350,1,0,0.0,0.00994783657904
2486,3350,2,0,0.0,0.0431439901843
2487,3351,1,0,0.0,0.0465646643354
2488,3353,1,0,0.0,0.119874927837
2489,3355,1,0,0.0,0.00771864875494
2490,3356,1,0,0.0,0.00606222601224
2491,3356,2,0,0.0,0.0361770340438
2492,3357,1,0,0.0,0.00107135955717
2493,3358,1,0,0.0,0.000219646345215
2494,3360,1,0,0.0,0.0106458357461
2495,3360,2,0,0.0,0.014668223227
2496,3362,1,0,0.0,0.0390202686533
2497,3363,1,0,0.0,0.0412217823408
2498,3363,2,0,0.0,0.0120226361295
2499,3364,1,0,0.0,0.0545245962326
2500,3365,1,0,0.0,5.74515509027e-05
2501,3366,1,0,0.0,2.18268823948e-06
2502,3367,1,0,0.0,0.00362221205653
2503,3368,1,0,0.0,0.000950573140084
2504,3369,1,0,0.0,0.0464016899113
2505,3370,1,0,0.0,0.00545841527456
2506,3371,1,0,0.0,0.00186119454293
2507,3372,1,0,0.0,0.0426084760605
2508,3375,1,0,0.0,0.00312550600191
2509,3376,1,0,0.0,0.0442964511893
2510,3376,2,0,0.0,0.010561869241
2511,3377,1,0,0.0,0.000593730805786
2512,3379,1,0,0.0,0.009727566692
2513,3381,1,0,0.0,0.00314225240606
2514,3382,1,0,0.0,0.00438627620046
2515,3383,1,0,0.0,0.0659261419649
2516,3385,1,0,0.0,0.00677723505679
2517,3385,2,0,0.0,0.0039998964701
2518,3385,3,0,0.0,0.0400148024358
2519,3386,1,0,0.0,0.00247056319563
2520,3387,1,0,0.0,0.0374766937131
2521,3388,1,0,0.0,0.0113238981794
2522,3389,1,0,0.0,0.00569639314514
2523,3389,2,0,0.0,0.0389084089544
2524,3390,1,0,0.0,0.0270895225691
2525,3390,2,0,0.0,0.00927692099379
2526,3391,1,0,0.0,0.0118089720366
2527,3391,2,0,0.0,0.013242390583
2528,3393,1,0,0.0,0.136668875586
2529,3394,1,0,0.0,0.00660846548441
2530,3395,1,0,0.0,0.00853348225015
2531,3395,2,0,0.0,0.0108091065217
2532,3395,3,0,0.0,0.0715046945568
2533,3396,1,0,0.0,0.0171183974384
2534,3398,1,0,0.0,0.000827785423225
2535,3399,1,0,0.0,0.0130637266882
2536,3400,1,0,0.0,0.0420772041446
2537,3400,2,0,0.0,0.0563603801246
2538,3401,1,0,0.0,0.00920245636566
2539,3402,1,0,0.0,0.0210105430015
2540,3403,1,0,0.0,0.00979468582655
2541,3403,2,0,0.0,0.0559437512098
2542,3404,1,0,0.0,0.00378273829962
2543,3405,1,0,0.0,0.000578825367186
2544,3406,1,0,0.0,0.00634783789047
2545,3407,1,0,0.0,0.000106664565176
2546,3407,2,0,0.0,0.0385361075482
2547,3408,1,0,0.0,9.58565720566e-06
2548,3410,1,0,0.0,0.000499110637366
2549,3411,1,0,0.0,0.00421420366528
2550,3415,1,0,0.0,0.0778333031994
2551,3416,1,1,844.16901861,0.340308350657
2552,3417,1,1,353.373077558,0.373372063791
2553,3418,1,1,353.373077558,0.245038959255
2554,3419,1,1,414.449905777,0.0136826415832
2555,3422,1,0,0.0,0.0368284564552
2556,3423,1,0,0.0,0.00541368249589
2557,3424,1,0,0.0,0.0449105830715
2558,3425,1,0,0.0,0.016284767602
2559,3425,2,0,0.0,0.00561417263562
2560,3426,1,0,0.0,0.0105550255173
2561,3427,1,0,0.0,0.0179218802658
2562,3428,1,0,0.0,0.0431461537473
2563,3429,1,0,0.0,0.0835508979792
2564,3434,1,0,0.0,0.0139146200031
2565,3435,1,0,0.0,0.00161823498571
2566,3436,1,0,0.0,0.0191565235481
2567,3438,1,0,0.0,0.0676689313493
2568,3439,1,0,0.0,0.00924678647417
2569,3440,1,0,0.0,0.00494069491103
2570,3441,1,0,0.0,0.0741586138565
2571,3442,1,0,0.0,0.0437248933112
2572,3443,1,0,0.0,0.150881328957
2573,3443,2,0,0.0,0.00767268099599
2574,3443,3,0,0.0,0.0836713619979
2575,3443,4,0,0.0,0.0836713619979
2576,3444,1,0,0.0,0.0420772041446
2577,3445,1,0,0.0,0.00385611582526
2578,3445,2,0,0.0,0.00591445622312
2579,3445,3,0,0.0,0.0741568147552
2580,3445,4,0,0.0,0.0836713619979
2581,3446,1,0,0.0,0.0280133469953
2582,3447,1,0,0.0,0.00367967540785
2583,3448,1,0,0.0,0.0412386976606
2584,3449,1,0,0.0,0.0563332612183
2585,3449,2,0,0.0,0.0637604307482
2586,3450,1,0,0.0,0.00170217556365
2587,3451,1,0,0.0,0.00382703543873
2588,3452,1,0,0.0,0.0388252050947
2589,3453,1,0,0.0,0.00814701130142
2590,3455,1,0,0.0,0.00628077985486
2591,3456,1,0,0.0,0.0400148024358
2592,3457,1,0,0.0,0.0500663024155
2593,3457,2,0,0.0,0.000181958628142
2594,3458,1,0,0.0,0.0135743498848
2595,3458,2,0,0.0,0.0166873438973
2596,3459,1,1,464.620157529,0.162062868755
2597,3460,1,0,0.0,0.0361569385327
2598,3462,1,0,0.0,0.0066031105178
2599,3463,1,0,0.0,0.000371350338947
2600,3464,1,0,0.0,0.00087587831486
2601,3465,1,0,0.0,0.00188411622714
2602,3466,1,0,0.0,0.036175206735
2603,3467,1,0,0.0,0.0734686724073
2604,3467,2,0,0.0,0.0171228068591
2605,3469,1,2,1444.03072434,0.397559719554
2606,3469,2,2,1444.03072434,0.397559719554
2607,3471,1,0,0.0,0.00596045639967
2608,3473,1,0,0.0,0.0356557160585
2609,3474,1,0,0.0,0.0283293027867
2610,3475,1,0,0.0,0.0115923659766
2611,3475,2,0,0.0,0.064850794409
2612,3476,1,0,0.0,0.00158640097183
2613,3477,1,0,0.0,0.00865040940483
2614,3478,1,0,0.0,0.0193867882213
2615,3479,1,0,0.0,0.0345340871101
2616,3480,1,0,0.0,0.00160077882136
2617,3481,1,0,0.0,0.00145975272332
2618,3482,1,0,0.0,0.0024274265911
2619,3482,2,0,0.0,0.0158488288162
2620,3483,1,0,0.0,0.000964282978155
2621,3484,1,0,0.0,0.00939003606925
2622,3485,1,0,0.0,0.0169678754255
2623,3486,1,0,0.0,0.0116399740676
2624,3487,1,0,0.0,0.00479159229324
2625,3488,1,0,0.0,0.00480159948492
2626,3489,1,0,0.0,0.0111220991009
2627,3490,1,0,0.0,0.0106788494317
2628,3491,1,0,0.0,0.0580539884962
2629,3492,1,0,0.0,0.00127728472879
2630,3492,2,0,0.0,0.0141295344504
2631,3493,1,0,0.0,0.0809612837934
2632,3494,1,0,0.0,3.71010753312e-15
2633,3495,1,0,0.0,0.000765361064777
2634,3497,1,0,0.0,9.83263666513e-16
2635,3498,1,0,0.0,0.000506782506813
2636,3499,1,0,0.0,0.00473099843094
2637,3500,1,0,0.0,8.24961868438e-06
2638,3502,1,0,0.0,0.0464368630781
2639,3503,1,0,0.0,0.00896728277599
2640,3503,2,0,0.0,0.0171228068591
2641,3505,1,0,0.0,0.0604833267899
2642,3506,1,0,0.0,0.0166873438973
2643,3507,1,0,0.0,0.0778333031994
2644,3509,1,0,0.0,0.0402004241211
2645,3512,1,0,0.0,0.00838164257522
2646,3513,1,0,0.0,0.0027755886365
2647,3514,1,0,0.0,0.00579695984122
2648,3516,1,0,0.0,0.00299736974012
2649,3517,1,0,0.0,0.00172000934738
