,peridnum,ss_val,Participation,Prob_Received
860,6600139092193909300201,16834.9714061,1,0.107341186438
886,3795304533407329300102,16772.6196602,1,0.985741640303
894,3207390731218399300101,13717.3841087,1,0.828596117898
895,3207390731218399300102,11160.9625248,1,0.828596117898
903,7409330947212399300101,13729.8544579,1,0.961841567303
905,7330237812199309300101,16136.6318515,1,0.916419430879
906,3793901332807129300101,10688.1284514,1,0.916419430879
907,8338897408572089300201,940.47216806,1,0.0187142241225
908,8338897408572089300202,2584.47986957,1,0.828596117898
923,2639146090333799200202,5985.76761108,1,0.0187702161268
924,2639146090333799200203,9402.64328906,1,0.0256544190351
925,2639146090333799200204,3231.89883167,1,0.0256544190351
945,9070938652897609200105,22446.6285415,1,0.909892935754
960,2061300170133460301101,1122.33142708,1,0.828596117898
961,2061300170133460301102,14378.3126158,1,0.828596117898
963,2022402180353700301102,14640.1899488,1,0.976788621227
965,0203101994436020201101,11971.5352222,1,0.828596117898
966,3419203176210020201101,27808.8786931,1,0.828596117898
969,1932620300844090201101,36164.0126502,1,0.828596117898
976,2100044320169930201101,27496.0807676,1,0.828596117898
977,2100044320169930201102,14402.2141184,1,0.828596117898
978,1932620300844090301101,18082.0063251,1,0.968234638371
981,3324461901002090301101,17383.6667705,1,0.938033556877
982,6321231900027020311101,11223.3142708,1,0.828596117898
983,6321231900027020311102,17458.4888656,1,0.988447778284
988,1100063128169430201101,16211.4539467,1,0.917446679831
991,2035717014702050301102,24940.6983795,1,0.931366378788
992,2035717014702050301101,15014.3004244,1,0.828596117898
1009,0203100922163270311101,13692.4434103,1,0.909892935754
1011,0290338462009410301101,21523.8227015,1,0.828596117898
1015,4318390096204200301102,4589.08850182,1,0.139126104123
1022,9022043923101640301101,10911.555541,1,0.828596117898
1051,6092017513100180301101,187.055237846,1,0.0259488835602
1052,6092017513100180301102,187.055237846,1,0.0259488835602
1053,6092017513100180301103,8729.24443282,1,0.142379900849
1056,0620334002010610301102,9976.27935179,1,0.912074617524
1059,7321811601009050301101,16211.4539467,1,0.968234638371
1060,0203101378081560301101,25127.7536173,1,0.909892935754
1062,1675620300271290301101,18766.8363348,1,0.143816397577
