h_seq,snap_participation,snap_impute,probs
875,0,0.0,0.00175549642834
876,0,0.0,0.0772053749885
877,0,0.0,0.024958239753
878,0,0.0,0.00828644086729
879,0,0.0,0.22757100919
880,0,0.0,0.00372307907569
882,1,672.440021817,0.431708911152
883,0,0.0,0.181284397098
884,0,0.0,0.0248916659431
885,0,0.0,0.0137047741398
886,0,0.0,0.163654967894
887,0,0.0,0.00788542954017
889,1,560.366684847,0.105618877895
891,0,0.0,0.00959524619276
892,0,0.0,0.662525959195
893,0,0.0,0.125018710099
894,1,2241.46673939,0.0851325325204
896,0,0.0,0.0662672877504
897,0,0.0,0.00344380360724
899,0,0.0,0.0195644218972
901,0,0.0,0.0105824168393
902,0,0.0,0.0195849031374
903,1,2241.46673939,0.784121412815
904,0,0.0,0.237957572768
906,0,0.0,0.00927648221304
910,0,0.0,0.00186205386583
912,0,0.0,0.0164138736902
914,0,0.0,0.0316695876337
915,0,0.0,0.0266674579751
916,0,0.0,0.0462230055972
917,0,0.0,0.0552045332428
920,1,1994.90539806,0.585219856839
921,2,2447.68167941,0.495321899964
923,0,0.0,0.00474855839349
924,0,0.0,0.0823524111726
925,0,0.0,0.0956890569074
927,0,0.0,0.00593919107499
928,0,0.0,0.0154980899659
931,0,0.0,0.0350103834239
932,0,0.0,0.585898777397
933,2,2447.68167941,0.105450786443
934,2,2447.68167941,0.122833386407
938,1,2465.61341333,0.360212480865
943,1,179.317339151,0.073631204646
944,1,2084.56406763,0.534232816183
945,2,2447.68167941,0.432180981287
946,2,2447.68167941,0.62925818508
948,2,2447.68167941,0.24618434864
949,0,0.0,0.0167736935771
950,1,8965.86695756,0.971319610965
952,1,2465.61341333,0.159567419754
955,0,0.0,0.171335195387
956,0,0.0,0.00917922805466
958,0,0.0,0.0355349639865
960,0,0.0,0.0164030965026
962,0,0.0,0.0272624700755
963,0,0.0,0.0153904433593
965,0,0.0,0.00637146819302
966,0,0.0,0.00628140996802
968,0,0.0,0.0370424588611
969,0,0.0,0.0866342352492
970,1,896.586695756,0.0229322397393
971,2,2447.68167941,0.41000161917
974,1,933.944474746,0.430063284583
977,0,0.0,0.0168296930874
982,1,6724.40021817,0.761847903606
983,0,0.0,0.00752083156091
984,0,0.0,0.0078831331892
985,1,2241.46673939,0.695766407477
986,1,179.317339151,0.0615372708269
1004,1,7845.13358786,0.332437615788
1006,1,7396.84023999,0.917188155181
1010,2,2447.68167941,0.183731383527
1013,0,0.0,0.0273913245094
1015,0,0.0,0.00189201433878
1016,1,560.366684847,0.469561940277
1017,0,0.0,0.154050644489
1018,0,0.0,0.0385835093464
1019,0,0.0,0.0624533475716
1020,2,2447.68167941,0.0737401540936
1021,0,0.0,0.0137343864767
1023,0,0.0,0.117009693849
1027,0,0.0,0.00321404118898
1036,0,0.0,0.033030715976
1037,0,0.0,0.0180520838654
1038,0,0.0,0.0197325689303
1040,0,0.0,0.0126833380021
1041,0,0.0,0.0136637992894
1044,0,0.0,0.0291366044862
1045,1,6164.03353332,0.582714451882
1046,1,6724.40021817,0.617526540781
1048,0,0.0,0.310591373137
1049,0,0.0,0.0362094979262
1053,0,0.0,0.0050853148423
1054,0,0.0,0.0759179177013
1059,0,0.0,0.00571067748562
1060,0,0.0,0.0238957341859
1061,0,0.0,0.0541232458166
1062,0,0.0,0.0365301152867
1063,0,0.0,0.468168052001
1064,0,0.0,0.0434626694318
1066,0,0.0,0.129634255938
1067,0,0.0,0.0132738002907
1068,0,0.0,0.106339834519
1069,0,0.0,0.0609220722192
1070,1,4001.01812981,0.0184280457833
1071,1,1307.52226464,0.0578613953838
1072,0,0.0,0.293873071567
1073,2,2447.68167941,0.352701751985
1075,0,0.0,0.200219874188
1078,1,1456.9533806,0.41442391074
1079,1,2488.02808072,0.939799946896
1080,0,0.0,0.122818008716
1081,1,4707.08015272,0.463580788806
1082,1,1300.05070885,0.123503235561
1083,0,0.0,0.0154007588321
1084,1,2773.81508999,0.382891290101
1085,0,0.0,0.00778177163533
1086,1,2465.61341333,0.711638169024
1087,0,0.0,0.330137927657
1088,0,0.0,0.00422336853798
